"","id","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"223","YLR188W",169,0,3399,"P33310","60min",0.919074251583391,0.870550563296124,3,3,0.12788452044972,0.0247635825353924
"224","YLR188W",169,0,3399,"P33310","90min",1.12787172452225,0.907519155317161,4,4,0.788233524786801,0.323642986104987
"225","YLR188W",169,0,3399,"P33310","120min",1.01732889332653,0.895025070927972,5,5,0.438627528654501,0.222632255475487
"226","YLR197W",3,0,5376,"Q12460","0min",1,1,1,1,1.53611036688147,1.28017635474321
"227","YLR197W",3,0,5376,"Q12460","30min",0.834860460381226,0.243163736853071,2,2,0.184360221708793,-1.50312272712282
"228","YLR197W",3,0,5376,"Q12460","60min",0.820775782459595,0.611320138846034,3,3,0.0690700527448591,-0.149211153978251
"229","YLR197W",3,0,5376,"Q12460","90min",0.701347188626373,0.721964597761248,4,4,-0.908513022904416,0.257688773929264
"230","YLR197W",3,0,5376,"Q12460","120min",0.704705003720556,0.683020128377198,5,5,-0.881027618430703,0.114468752428597
"231","YLR270W",29,0,97,"Q06151","0min",1,1,1,1,-1.58641761209365,-0.93401571792786
"232","YLR270W",29,0,97,"Q06151","30min",1.24088470862884,9.18958683997628,2,2,-0.306892398776071,1.67662820783656
"233","YLR270W",29,0,97,"Q06151","60min",1.36801779619677,4.05583791916012,3,3,0.368409873070208,0.0401121419580527
"234","YLR270W",29,0,97,"Q06151","90min",1.40210675705858,2.49666109780322,4,4,0.549482740529372,-0.456916044860689
"235","YLR270W",29,0,97,"Q06151","120min",1.48229364561383,2.90794503464062,5,5,0.975417397270145,-0.325808587006059
"236","YLR344W",6,0,3145,"P05743","0min",1,1,1,1,1.60182464884722,0.697932458614634
"237","YLR344W",6,0,3145,"P05743","30min",0.874285728914568,0.469761374607006,2,2,0.325431179955418,-1.73747710956256
"238","YLR344W",6,0,3145,"P05743","60min",0.771272536829602,0.858565436437754,3,3,-0.72047525892131,0.0483172233700014
"239","YLR344W",6,0,3145,"P05743","90min",0.762982368072298,0.959264119325264,4,4,-0.804646428721452,0.510830748531092
"240","YLR344W",6,0,3145,"P05743","120min",0.802626521749821,0.952637998043937,5,5,-0.402134141159876,0.480396679046837
"241","YML016C",50,2,4641,"P26570","0min",1,1,1,3,1.49782004614073,-1.36416379982766
"242","YML016C",50,2,4641,"P26570","30min",0.897415563875662,1.93187265784969,2,4,-0.469436879977368,1.00719995041889
"243","YML016C",50,2,4641,"P26570","60min",0.857871826040907,1.89211529345119,3,5,-1.22776528805801,0.906028216335079
"244","YML016C",50,2,4641,"P26570","90min",0.92361862959447,1.31950791077289,4,6,0.0330580838627107,-0.551102625490616
"245","YML016C",50,2,4641,"P26570","120min",0.93056790631655,1.53687518128801,5,7,0.166324038031932,0.00203825856430464
"246","YML054C",12,0,5266,"P00175","0min",1,1,1,1,-1.72978817286264,-1.23924026275465
"247","YML054C",12,0,5266,"P00175","30min",2.35576557821259,1.34723357686569,2,2,0.290763286492566,1.5564800661097
"248","YML054C",12,0,5266,"P00175","60min",2.27868279088019,1.1328838852958,3,3,0.175883737300167,-0.169337453085867
"249","YML054C",12,0,5266,"P00175","90min",2.43851930535906,1.14076371586842,4,4,0.41409446323873,-0.105893696526529
"250","YML054C",12,0,5266,"P00175","120min",2.73036698329253,1.14869835499704,5,5,0.84904668583118,-0.0420086537426573
"251","YML073C",14,0,962,"Q02326","0min",1,1,1,1,1.54533936219197,1.07223279474487
"252","YML073C",14,0,962,"Q02326","30min",0.864283707781008,0.598739352309464,2,2,0.424067103924141,-1.45670831221254
"253","YML073C",14,0,962,"Q02326","60min",0.766868872292011,0.747424624317469,3,3,-0.380762963207998,-0.519620913923277
